table,status,jpRows,cnRows,identicalRows,changedRows,jpOnlyRows,cnOnlyRows,jpOnlyFields,cnOnlyFields
"config_access","identical",215,215,215,0,0,0,"",""
"config_accurate_behavior","identical",53,53,53,0,0,0,"",""
"config_achievement","identical",745,745,745,0,0,0,"",""
"config_achievement_type_id","identical",49,49,49,0,0,0,"",""
"config_action_audio_bind","identical",50,50,50,0,0,0,"",""
"config_activity","identical",482,482,482,0,0,0,"",""
"config_activity_bgm_period","identical",8,8,8,0,0,0,"",""
"config_activity_extract","identical",5,5,5,0,0,0,"",""
"config_activity_extract_ur","identical",1,1,1,0,0,0,"",""
"config_activity_type","identical",10,10,10,0,0,0,"",""
"config_adventure_role","identical",30,30,30,0,0,0,"",""
"config_affection_change","identical",14,14,14,0,0,0,"",""
"config_affection_favor","identical",7,7,7,0,0,0,"",""
"config_affection_item","identical",8,8,8,0,0,0,"",""
"config_affection_mood","identical",4,4,4,0,0,0,"",""
"config_air_attack_spe","identical",75,75,75,0,0,0,"",""
"config_air_control_state","identical",5,5,5,0,0,0,"",""
"config_air_search_spe","identical",147,147,147,0,0,0,"",""
"config_air_spe_link_fleet","identical",115,115,115,0,0,0,"",""
"config_anniversary_video","identical",4,4,4,0,0,0,"",""
"config_ar_battle_config","identical",10,10,10,0,0,0,"",""
"config_ar_battle_range","identical",5,5,5,0,0,0,"",""
"config_ar_config","identical",27,27,27,0,0,0,"",""
"config_askill_dict_create_item","identical",3302,3302,3302,0,0,0,"",""
"config_askill_dict_create_range","identical",894,894,894,0,0,0,"",""
"config_askill_dict_create_range_item","identical",870,870,870,0,0,0,"",""
"config_askill_dict_prj_ctrl_logic","identical",1019,1019,1019,0,0,0,"",""
"config_askill_dict_prj_ctrl_move","identical",2378,2378,2378,0,0,0,"",""
"config_askill_dict_projectile","identical",961,961,961,0,0,0,"",""
"config_askill_dict_projectile_ctrl","identical",3704,3704,3704,0,0,0,"",""
"config_askill_dict_projectile_item","identical",3059,3059,3059,0,0,0,"",""
"config_assess","identical",16,16,16,0,0,0,"",""
"config_assess_condition","identical",9,9,9,0,0,0,"",""
