client,table,file,sha256,rows,metadataRows,validJson,invalid,fields,firstError
"jp-1.4.0","config_access","config_access.db","D89EAEA239C0A5185FAF46BE00218BFA413EAC6C2A4C12E18139B434F629C75D",216,1,215,0,"activatetime;drop_path;id;name;period_id",""
"jp-1.4.0","config_accurate_behavior","config_accurate_behavior.db","2253C055032BC5DBE61A5F8BAE89CEF661D671F3B070ECA69927B7749B3F5884",54,1,53,0,"behavior_call;behavior_time;behaviour_info_group;camera_info_group;caption_access;countenance_resource;diff_name;voice_access",""
"jp-1.4.0","config_achievement","config_achievement.db","DA394B118F96315D6D022D2B1BBC692139AD30674DD4827A31334EF2BC152C55",746,1,745,0,"abandoned;count_type;desc;go_up_to;goal;id;if_invisible;last_achievement;medal_id;open_day;point;progress;refresh_id;reward;rewards;show_reward_num;title;type;type_id;visible_parm",""
"jp-1.4.0","config_achievement_type_id","config_achievement_type_id.db","BCCDA50A9AC0C299A424D249350A28E49E3058FCE1E5637D1E78B65958344341",50,1,49,0,"id;type_id",""
"jp-1.4.0","config_action_audio_bind","config_action_audio_bind.db","6933F89C6BDABF4FC1D2CB66E382672378558B50F0E8D938AF48D1C3C3619478",51,1,50,0,"action_name;audio_id;delay_time;diff_name;id;role_id",""
"jp-1.4.0","config_activity","config_activity.db","4DF510C3635FC9019012DB8BEFC237A94DA79EA6A3CD3B418CCF2EE61E8E5216",483,1,482,0,"activity_top;audobattle_chapter;banner_goto;banner_gotopage;banner_gotopage_activity;banner_order;banner_pic;bg;bg_pic;close_groupbase;extra_ship_id;id;is_open;item_recycling_id;mail_id;name;order;p1;p10;p11;p12;p13;p14;p2;p3;p4;p5;p6;p7;p8;p9;padding_image;period;period_area;period_list;period_list_area;plot_type;rank_id;red_dot;seacopy_type;send_reward;shop_id;show_function;show_type;test_buff_show;test_image;test_ship;test_show;type",""
"jp-1.4.0","config_activity_bgm_period","config_activity_bgm_period.db","D05B60EF5824F52C59831EA7903B63FFEF6A4257B553F7CA357854D69146B4C8",9,1,8,0,"envir_bgm;id;period;weights",""
"jp-1.4.0","config_activity_extract","config_activity_extract.db","A3154AD387F4B05C3443A54EC606A8A85E58AB0AB8D3E31F9614298509A37C41",6,1,5,0,"drop_reward_id;id;item_cost;name;reward_key",""
"jp-1.4.0","config_activity_extract_ur","config_activity_extract_ur.db","06563F1548EBDD0272959177FF6E9B7554ABFB3BB642F2E8252A01B5B873F2B0",2,1,1,0,"chapter_id;copy_display_id;desc;drop_reward_id;fragment_id;id;item_cost;name;next_card_id;reward_key;special_drop;special_drop_times;surprise_drop",""
"jp-1.4.0","config_activity_type","config_activity_type.db","5C3B62E88309FF4EEBD8FA1408486AD4F4F79A13667C742766A85A09E8288892",11,1,10,0,"banner_goto;banner_order;id;is_open;order;red_dot",""
"jp-1.4.0","config_adventure_role","config_adventure_role.db","50B0D2124FD04B8779CDB02D51B3661F4D766C7E558C0301892B70315A5BF30C",31,1,30,0,"attack_max;enemy_life;hero_life;hero_name;hero_profession;id;image;image_attack;image_death;level_max;levelup_item;levelup_item_num;levelup_life;task_id",""
"jp-1.4.0","config_affection_change","config_affection_change.db","D42146A9EB55BBB3067D66E50989ED222488BE6AF86CEFE8C1F8995919A76197",15,1,14,0,"affection_add;affection_change_sort;affection_flagship_add;affection_mvp_add;affection_reduce;mood_reduce;mood_shipwrecks_reduce;not_effect_curriculum_vitae",""
"jp-1.4.0","config_affection_favor","config_affection_favor.db","7070C45A1919E93A556CCE312B6B1D0DDD0AE517C42FBA40C4790030ED56B142",8,1,7,0,"affection_adddescribe;affection_cost;affection_describe;affection_icon;affection_id;affection_marry;affection_max;affection_min;affection_value_effect;value_effect_power",""
"jp-1.4.0","config_affection_item","config_affection_item.db","1AA67FA421E9B8F4DB5918833D6F0C7700720F0CCF3C2BB49EB746355C03D837",9,1,8,0,"affection_exp;description;drop_path;icon;icon_small;id;name;quality",""
"jp-1.4.0","config_affection_mood","config_affection_mood.db","4DBDC0C57D8883A53E58A1AC51EEBE2AF88A19C2A5C96D45B552CEFD21E82214",5,1,4,0,"mood_affection_add;mood_describe;mood_exp_up;mood_icon;mood_icon_xiao;mood_id;mood_max;mood_min",""
"jp-1.4.0","config_air_attack_spe","config_air_attack_spe.db","604C870E3640ABFA9DFDA5030675C1FB060768DBEE96B4EB47A9628490A077E1",76,1,75,0,"id;radius;speed;speed_time",""
