table,status,jpRows,cnRows,identicalRows,changedRows,jpOnlyRows,cnOnlyRows,jpOnlyFields,cnOnlyFields
"config_access","records-different",200,152,13,135,52,4,"",""
"config_accurate_behavior","identical",53,53,53,0,0,0,"",""
"config_achievement","schema-different",745,627,0,624,121,3,"open_day;show_reward_num",""
"config_achievement_type_id","content-different",49,49,48,1,0,0,"",""
"config_action_audio_bind","identical",50,50,50,0,0,0,"",""
"config_activity","schema-different",389,201,0,143,246,58,"","function_id"
"config_activity_bgm_period","schema-different",8,8,0,7,1,1,"weights",""
"config_activity_extract","jp-only",5,0,0,0,0,0,"drop_reward_id;id;item_cost;name;reward_key",""
"config_activity_extract_ur","jp-only",1,0,0,0,0,0,"chapter_id;copy_display_id;desc;drop_reward_id;fragment_id;id;item_cost;name;next_card_id;reward_key;special_drop;special_drop_times;surprise_drop",""
"config_activity_type","identical",10,10,10,0,0,0,"",""
"config_adventure_role","records-different",30,60,0,30,0,30,"",""
"config_affection_change","identical",14,14,14,0,0,0,"",""
"config_affection_favor","content-different",7,7,0,7,0,0,"",""
"config_affection_item","jp-only",8,0,0,0,0,0,"affection_exp;description;drop_path;icon;icon_small;id;name;quality",""
"config_affection_mood","content-different",4,4,0,4,0,0,"",""
"config_air_attack_spe","content-different",75,75,72,3,0,0,"",""
"config_air_control_state","identical",5,5,5,0,0,0,"",""
"config_air_search_spe","records-different",147,132,132,0,15,0,"",""
"config_air_spe_link_fleet","records-different",115,113,112,0,3,1,"",""
"config_anniversary_video","jp-only",4,0,0,0,0,0,"id;image;link;period;period_area;reward",""
"config_ar_battle_config","identical",10,10,10,0,0,0,"",""
"config_ar_battle_range","identical",5,5,5,0,0,0,"",""
"config_ar_config","identical",27,27,27,0,0,0,"",""
"config_askill_dict_create_item","records-different",3094,1958,1957,1,1136,0,"",""
"config_askill_dict_create_range","records-different",858,662,638,24,196,0,"",""
"config_askill_dict_create_range_item","identical",870,870,870,0,0,0,"",""
"config_askill_dict_prj_ctrl_logic","records-different",971,778,758,20,193,0,"",""
"config_askill_dict_prj_ctrl_move","records-different",2310,1716,1585,24,701,107,"",""
"config_askill_dict_projectile","records-different",906,701,679,22,205,0,"",""
"config_askill_dict_projectile_ctrl","records-different",3458,2142,2066,26,1366,50,"",""
"config_askill_dict_projectile_item","records-different",2924,2413,2193,220,511,0,"",""
"config_assess","content-different",16,16,4,12,0,0,"",""
"config_assess_condition","identical",9,9,9,0,0,0,"",""
"config_assist_fleet","records-different",26,21,17,4,5,0,"",""
"config_assist_ship_info","records-different",801,742,742,0,59,0,"",""
"config_attribute","records-different",107,90,1,89,17,0,"",""
"config_audio","identical",145,145,145,0,0,0,"",""
"config_barrage_library","records-different",27999,18302,17091,1162,9746,49,"",""
"config_bathroom_item","content-different",1,1,0,1,0,0,"",""
"config_battle_ai","identical",5,5,5,0,0,0,"",""
"config_battle_ai_escape","identical",2,2,2,0,0,0,"",""
"config_battle_ai_fleet","schema-different",855,855,0,855,0,0,"airattack_call",""
"config_battle_ai_fleet_escape","identical",3,3,3,0,0,0,"",""
"config_battle_ai_fleet_support","identical",245,245,245,0,0,0,"",""
"config_battle_ai_ship_info","records-different",95,89,89,0,6,0,"",""
"config_battle_ai_ship_skill_ratio","identical",57,57,57,0,0,0,"",""
"config_battle_ai_support","identical",1,1,1,0,0,0,"",""
"config_battle_air_control_coefficient","identical",19,19,19,0,0,0,"",""
"config_battle_ammounition_effect","identical",3,3,3,0,0,0,"",""
"config_battle_auto_chat","jp-only",9,0,0,0,0,0,"id;text",""
"config_battle_config","records-different",326,315,252,63,11,0,"",""
"config_battle_fleet_show","content-different",63,63,0,63,0,0,"",""
"config_battle_logic_trigger","records-different",63,48,48,0,15,0,"",""
"config_battle_logic_trigger_result","records-different",142,134,134,0,8,0,"",""
"config_battle_maingun_clip","identical",6,6,6,0,0,0,"",""
"config_battle_qte_effect","identical",4,4,4,0,0,0,"",""
"config_battle_qte_pro","identical",1,1,1,0,0,0,"",""
"config_battle_range","content-different",5,5,3,2,0,0,"",""
"config_battle_threat","identical",12,12,12,0,0,0,"",""
"config_battle_torpedogun_combo","identical",6,6,6,0,0,0,"",""
"config_battle_weather","identical",3,3,3,0,0,0,"",""
"config_battlefield_info","records-different",214,153,153,0,61,0,"",""
"config_battlefield_resource","records-different",2722,2534,1779,755,188,0,"",""
"config_battlefield_resource_blood","records-different",18,16,16,0,2,0,"",""
"config_battlepass_level","content-different",50,50,0,50,0,0,"",""
"config_battlepass_level_activity","jp-only",50,0,0,0,0,0,"free_level_reward;level;level_exp;pay_level_reward;target_reward",""
"config_battlepass_param","content-different",1,1,0,1,0,0,"",""
"config_battlepass_param_activity","jp-only",1,0,0,0,0,0,"advance_price_1;advance_price_2;advance_reward_1;advance_reward_2;advance_reward_desc_1;advance_reward_desc_2;advance_reward_level_2;buy_level_price;free_icon;free_refresh_count;id;item_recycling_id;pay_icon;pay_refresh_count;pay_refresh_price;recycle_mail_id;reward_mail_id;shop_id;weekly_task_num",""
"config_battlepass_task","content-different",17,17,0,17,0,0,"",""
"config_battlepass_task_activity","jp-only",17,0,0,0,0,0,"battlepass_exp;go_up_to;go_up_to_parm;id;task_goal;task_name;task_type;task_type_name",""
"config_bd_class","identical",3,3,3,0,0,0,"",""
"config_bd_limited","content-different",24,24,23,1,0,0,"",""
"config_bd_obj1","identical",5,5,5,0,0,0,"",""
"config_bd_prop","identical",7,7,7,0,0,0,"",""
"config_bd_prop1","identical",3,3,3,0,0,0,"",""
"config_behavior_info","identical",1146,1146,1146,0,0,0,"",""
"config_behaviour_info_queue","records-different",1773,1473,1278,84,411,111,"",""
"config_bestrong","content-different",6,6,0,6,0,0,"",""
"config_big_activity_chapter","content-different",3,3,0,3,0,0,"",""
"config_big_activity_copy_display","identical",55,55,55,0,0,0,"",""
"config_big_activity_reward","identical",10,10,10,0,0,0,"",""
"config_boss_copy_activity","records-different",5,7,0,5,0,2,"",""
"config_boss_copy_life","records-different",50,59,0,50,0,9,"",""
"config_boss_copy_main","content-different",4,4,0,4,0,0,"",""
"config_boss_life_control","records-different",240,336,15,225,0,96,"",""
"config_buff_show","records-different",669,633,620,13,36,0,"",""
"config_build_formula","content-different",4,4,0,4,0,0,"",""
"config_build_quality","content-different",2020,2020,0,2020,0,0,"",""
"config_build_ship","content-different",30,30,26,4,0,0,"",""
"config_building","identical",10,10,10,0,0,0,"",""
"config_building_camera_parameters","identical",9,9,9,0,0,0,"",""
"config_building_character_story","records-different",216,306,0,216,0,90,"",""
"config_building_config","records-different",16,15,15,0,1,0,"",""
"config_building_furniture_res","identical",1,1,1,0,0,0,"",""
"config_building_tv_res","records-different",1,4,0,1,0,3,"",""
"config_building_wall_res","identical",1,1,1,0,0,0,"",""
"config_buildinginfo","schema-different",35,35,0,35,0,0,"recipe_compose;reducecost",""
"config_buildinglevelup","identical",35,35,35,0,0,0,"",""
"config_buildingtype","identical",8,8,8,0,0,0,"",""
"config_camera_info_queue","records-different",3663,3089,5,0,3658,3084,"",""
"config_caption_access_list","records-different",7993,6844,580,6178,1235,86,"",""
"config_cg_resources","identical",3,3,3,0,0,0,"",""
"config_challenge","records-different",8,7,1,6,1,0,"",""
"config_challenge_reward","identical",10,10,10,0,0,0,"",""
"config_chapter","schema-different",201,102,0,97,104,5,"changechapterbtnhide;copy_background_2;help_info;name2;new_ocean_tag;plot_locked;pve_copy;starbox_cosy",""
"config_chapter_plot_type","schema-different",3,3,0,3,0,0,"chapter_list2;image_bg;image_btn;image_btn_push;image_mask;plot_enter_name;show_id",""
"config_chapter_tower","schema-different",18,9,0,9,9,0,"desc_simplify;reset_chapter",""
"config_chapter_training","identical",7,7,7,0,0,0,"",""
"config_chapter_type","records-different",61,36,21,15,25,0,"",""
"config_chapter_type_info","schema-different",5,4,0,4,1,0,"title",""
"config_character","records-different",128,102,5,96,27,1,"",""
"config_chat_emoji","identical",17,17,17,0,0,0,"",""
"config_chat_send_interval","identical",6,6,6,0,0,0,"",""
"config_chat_set","content-different",12,12,0,12,0,0,"",""
"config_cheat_app","identical",12,12,12,0,0,0,"",""
"config_color","identical",13,13,13,0,0,0,"",""
"config_combination_ship","jp-only",370,0,0,0,0,0,"before_id;break_item;break_prop_up;break_prop_up_percent;break_star;id;level;levelup_item;next_id;prop_up;prop_up_percent;sf_id;skill_id;star",""
"config_condition","identical",2,2,2,0,0,0,"",""
"config_copy","schema-different",1401,1076,0,983,418,93,"match_type",""
"config_copy_demo","records-different",86,76,75,1,10,0,"",""
"config_copy_display","schema-different",2032,1513,0,1410,622,103,"activity_item;activity_period;activity_period_area;activity_plot_bg;attached_fleet;autobattle_open;before_copy_id_list;branch_id;copy_activity_value;copy_progress;gotowar_num_mub;max_fleet;next_copy_id_list;nvn_ship_exp_up;plot_bg_lock;pvept_cost;recommend_info;safe_area_hidden;sport_type",""
"config_copy_enemy","identical",12,12,12,0,0,0,"",""
"config_copy_grade_type","identical",9,9,9,0,0,0,"",""
"config_copy_rank_drop","content-different",1,1,0,1,0,0,"",""
"config_copy_type_map","identical",1,1,1,0,0,0,"",""
"config_copytypemap","jp-only",1,0,0,0,0,0,"id",""
"config_countenance_info_queue","records-different",134,103,100,0,34,3,"",""
"config_counting","records-different",87,80,80,0,7,0,"",""
"config_country_info","records-different",12,9,0,9,3,0,"",""
"config_currency","records-different",33,29,0,29,4,0,"",""
"config_cutin_blacklist","identical",3,3,3,0,0,0,"",""
"config_cutin_ship_type_factor","identical",22,22,22,0,0,0,"",""
"config_daily_chapter","identical",8,8,8,0,0,0,"",""
"config_daily_finish","identical",10,10,10,0,0,0,"",""
"config_daily_group","schema-different",4,4,0,4,0,0,"treaty_basic_drop_base;treaty_basic_drop_star;treaty_dropinfo_basic;treaty_dropinfo_extra;treaty_dropinfo_pass;treaty_extra_drop;treaty_extra_drop_base;treaty_icon;treaty_id;treaty_item;treaty_pass_drop;treaty_show_buff",""
"config_daily_login","records-different",305,136,38,64,203,34,"",""
"config_daily_register","content-different",12,12,11,1,0,0,"",""
"config_data_version","identical",28,28,28,0,0,0,"",""
"config_days_activity","content-different",7,7,0,7,0,0,"",""
"config_days_activity_limited","jp-only",6,0,0,0,0,0,"bg;count;description;icon;id;name;outlinecolor;picture;selected;shop_goods;shop_id;task_activity;task_stage;textcolor;type",""
"config_discount_item","cn-only",0,76,0,0,0,76,"","activity_id;description;discount_rate;discount_type;drop_path;icon;icon_small;id;name;quality;time_duration"
"config_draw","identical",10,10,10,0,0,0,"",""
"config_drop_info","schema-different",1948,1250,0,1250,698,0,"show_counts;treaty_item",""
"config_drop_item","records-different",2499,1557,881,605,1013,71,"",""
"config_eca_action","identical",21,21,21,0,0,0,"",""
"config_eca_condition","identical",12,12,12,0,0,0,"",""
"config_eca_cvalue","identical",1,1,1,0,0,0,"",""
"config_eca_index","identical",12,12,12,0,0,0,"",""
"config_effect","records-different",517,463,463,0,54,0,"",""
"config_effect_bind","records-different",1187,1133,1133,0,54,0,"",""
"config_effect_bind_path","identical",396,396,396,0,0,0,"",""
"config_emoji","records-different",96,70,29,29,38,12,"",""
"config_emoji_pack","content-different",2,2,0,2,0,0,"",""
"config_equip","schema-different",989,813,0,813,176,0,"ryza_formula_id;ryza_type;ryza_type_num",""
"config_equip_activity_extrapoint","identical",10,10,10,0,0,0,"",""
"config_equip_ehhance_item","identical",3,3,3,0,0,0,"",""
"config_equip_enhance_item","records-different",4,3,0,3,1,0,"",""
"config_equip_enhance_level","identical",30,30,30,0,0,0,"",""
"config_equip_enhance_level_exp","identical",30,30,30,0,0,0,"",""
"config_equip_enhance_level_ur","jp-only",35,0,0,0,0,0,"enchance_level;item_cost",""
"config_equip_enhance_renovate","records-different",6,5,5,0,1,0,"",""
"config_equip_fashion_showtype","content-different",5,5,0,5,0,0,"",""
"config_equip_fashion_type","records-different",39,30,18,12,9,0,"",""
"config_equip_levelbreak_item","records-different",2,1,1,0,1,0,"",""
"config_equip_skill_type","identical",22,22,22,0,0,0,"",""
"config_equip_type","records-different",69,61,0,61,8,0,"",""
"config_equip_wear_type","schema-different",31,22,0,22,9,0,"order",""
"config_escape_type","identical",3,3,3,0,0,0,"",""
"config_evaluate","records-different",234,225,1,224,9,0,"",""
"config_example","identical",3,3,3,0,0,0,"",""
"config_expand_item","content-different",2,2,0,2,0,0,"",""
"config_expedition_set","identical",5,5,5,0,0,0,"",""
"config_expedition_task","identical",411,411,411,0,0,0,"",""
"config_export_damage_type","identical",5,5,5,0,0,0,"",""
"config_export_func","identical",18,18,18,0,0,0,"",""
"config_extra_skill","schema-different",16,4,0,4,12,0,"ship_copy",""
"config_extract_mail","records-different",19,27,0,17,2,10,"",""
"config_extract_ship","schema-different",183,73,0,46,137,27,"close_draw_num;free_explore_period;free_ten_explore_refresh;hundred_tips_image;is_preview;new_ten_expend;show_appear_num","type_image"
"config_fashion","schema-different",1376,1149,0,1149,227,0,"belong_to_ship_group;shop_id",""
"config_flag_res","records-different",7,6,5,1,1,0,"",""
