client,name,stem,direction,pair,actualFields,fieldTypes,possibleParameters,evidence,confidence,source
"jp-1.4.0","AckPackBean","AckPackBean","unknown","","AckId;TOpes;Opes","AckId:int;TOpes:System.Collections.Generic.List<pb.TNetOperation>;Opes:System.Collections.Generic.List<Battle.Logic.Net.Base.NetOperation>","alphaPacking;beans;beginDeltaBeans;curPackNum;d2lPacketPool;g_MinPacketSize;in_pszFilePackageName;in_uPackageID;isInPackage;k_MaxFreePacketCount;k_PacketHeaderReserveSize;m_AlphaPacking","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","C2SProtocol","Protocol","unknown","","_ackPack;_preditionFrameID;pool","_ackPack:pb.TAckPack;_preditionFrameID:int;pool:ObjectPool<PXP.Net.Protocols.C2SProtocol>","clientHelloProtocol;m_UsePlatformSpecificProtocols;prependProtocol;processProtocol;protocol;protocolNegotiated;protocolVersion;protocol_type;recordProtocol;securityProtocol;securityProtocolType;sslProtocolType","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","NetProtocol","NetProtocol","unknown","","method;uid;battleId;_Buffer","method:byte;uid:long;battleId:int;_Buffer:Battle.Net.PXP.PXPBuffer","clientHelloProtocol;m_UsePlatformSpecificProtocols;prependProtocol;processProtocol;protocol;protocolNegotiated;protocolVersion;protocol_type;recordProtocol;securityProtocol;securityProtocolType;sslProtocolType","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","S2CActionbase","Actionbase","S2C/push","","","","","candidate","0.35","IL2CPP metadata/binary string table"
"jp-1.4.0","S2CActorCreator","ActorCreator","S2C/push","","mActors","mActors:System.Collections.Generic.Dictionary<int, BattleFrame.S2CActionbase>","actionCreator;actor;actorBuffRelationUtil;actorCircle;actorComponents;actorController;actorCreator;actorDic;actorId;actorInfo;actorManager;actorModel","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","S2CExecutor","Executor","S2C/push","","","","beizerExecutor;childExecutor;cubicBExecutor;executorEventHandler;mCurExecutor","candidate","0.35","IL2CPP metadata/binary string table"
"jp-1.4.0","S2CMessageExcutorSystem","MessageExcutorSystem","S2C/push","","mOpeActor","mOpeActor:BattleFrame.S2CActorCreator","addExcutor;addSystem;add_logMessageReceived;add_logMessageReceivedThreaded;add_systemStateChanged;bannerMessage;cachedSystemId;call_message;cameraSubsystem;cameraSubsystemRequested;cameraSubsystems;cloneDestroyedMessage","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","S2CPositionMulti","PositionMulti","S2C/push","","","","add_m_PCMSetPositionCallback;affection_position;allowMultipleRoot;allow_multiple;anchoredPosition;anchoredPosition3D;arr_affection_position;arr_assist_fleet_position;arr_character_story_position;arr_cutin_position;arr_enemy_position;arr_fashion_position1","candidate","0.35","IL2CPP metadata/binary string table"
"jp-1.4.0","S2CProtocol","Protocol","S2C/push","","ackId;rtt;Frame;_ackPack;pool","ackId:int;rtt:float;Frame:int;_ackPack:AckPackBean;pool:ObjectPool<PXP.Net.Protocols.S2CProtocol>","clientHelloProtocol;m_UsePlatformSpecificProtocols;prependProtocol;processProtocol;protocol;protocolNegotiated;protocolVersion;protocol_type;recordProtocol;securityProtocol;securityProtocolType;sslProtocolType","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","S2CShareMemory","ShareMemory","S2C/push","","","","add_lowMemory;alwaysInMemory;audioDeviceShareset;cMemoryOwn;currentTextureMemory;desiredTextureMemory;displayShareMemory;graphicsMemorySize;il2cpp_capture_memory_snapshot;il2cpp_free_captured_memory_snapshot;il2cpp_set_memory_callbacks;inMemoryBankPtr","candidate","0.35","IL2CPP metadata/binary string table"
